3659	Monster	FULL_SPAWN	495.16400146484375	159.89999389648438	-1220.2989501953125	159	85	85	1020	1
365D	Monster	FULL_SPAWN	491.2080078125	159.9013214111328	-1222.069091796875	149	85	85	1020	1
365E	Monster	FULL_SPAWN	485.64691162109375	159.89390563964844	-1206.2158203125	18	80	80	1010	1
365F	Monster	FULL_SPAWN	494.2920227050781	159.91714477539062	-1210.663818359375	214	80	80	1010	1
3660	Monster	FULL_SPAWN	497.01361083984375	159.89938354492188	-1219.305908203125	160	85	85	1020	1
3661	Monster	FULL_SPAWN	482.2861328125	159.91342163085938	-1218.67138671875	91	128	128	1000	2
3662	Monster	FULL_SPAWN	494.7950439453125	159.89585876464844	-1209.9921875	214	131	131	1060	2
3664	Monster	FULL_SPAWN	494.73828125	159.89488220214844	-1205.4058837890625	233	85	85	1020	1
368C	Monster	FULL_SPAWN	495.509033203125	159.9168243408203	-1209.7840576171875	60	187	187	1020	3
368D	Monster	FULL_SPAWN	504.3318176269531	159.91371154785156	-1202.6455078125	229	176	176	1010	3
369A	Monster	FULL_SPAWN	510.6310729980469	160.2121124267578	-1220.7918701171875	151	128	128	1000	2
6261	Monster	FULL_SPAWN	475.6944274902344	154.49668884277344	-1157.4595947265625	31	178	178	1001	3
6A4C	Monster	FULL_SPAWN	427.4857482910156	146.59634399414062	-1153.390869140625	1	229	229	1011	4
8855	Monster	FULL_SPAWN	497.2626953125	158.79400634765625	-1170.2049560546875	3	131	131	1060	2
9434	Monster	FULL_SPAWN	255.4210968017578	159.3770751953125	-1327.312255859375	37	254	254	1071	4
9507	Monster	FULL_SPAWN	234.18850708007812	159.01614379882812	-1337.2235107421875	0	254	254	1071	4
A034	Monster	FULL_SPAWN	397.7215881347656	159.9121856689453	-1437.6754150390625	196	128	128	1010	2
A7CE	Monster	FULL_SPAWN	282.48583984375	160.00392150878906	-1237.40771484375	178	80	80	1010	1
A7D0	Monster	FULL_SPAWN	271.2777404785156	159.953369140625	-1224.630615234375	225	176	176	1010	3
A7D4	Monster	FULL_SPAWN	266.5135803222656	159.37472534179688	-1228.906494140625	208	229	229	1060	4
A7D5	Monster	FULL_SPAWN	257.59393310546875	158.72830200195312	-1229.2625732421875	28	176	176	1010	3
A7D9	Monster	FULL_SPAWN	259.37615966796875	158.70323181152344	-1262.8837890625	189	224	224	1010	4
A7DA	Monster	FULL_SPAWN	252.70986938476562	158.05441284179688	-1263.0618896484375	253	224	224	1010	4
A7E8	Monster	FULL_SPAWN	301.9194030761719	159.9119873046875	-1216.25244140625	207	243	243	1021	4
A801	Monster	FULL_SPAWN	294.9763488769531	159.9119873046875	-1220.587646484375	99	238	238	1020	4
A806	Monster	FULL_SPAWN	288.3514404296875	159.9170684814453	-1236.4207763671875	182	80	80	1000	1
AA29	Monster	FULL_SPAWN	231.00048828125	159.33477783203125	-1248.8988037109375	74	137	137	1070	2
BCC7	Monster	FULL_SPAWN	252.13320922851562	159.37245178222656	-1381.2159423828125	59	86	86	1070	1
C0E4	Monster	FULL_SPAWN	318.5399475097656	159.8998260498047	-1400.3968505859375	194	178	178	1001	3
C0F7	Monster	FULL_SPAWN	298.39306640625	159.9128875732422	-1412.685302734375	11	187	187	1020	3
C106	Monster	FULL_SPAWN	226.61981201171875	159.9185791015625	-1401.4482421875	0	299	299	1120	5
CFBA	Monster	FULL_SPAWN	318.1248474121094	159.77853393554688	-1442.39453125	19	131	131	1060	2
DB4A	Monster	FULL_SPAWN	377.81634521484375	159.91412353515625	-1400.070556640625	230	137	137	1070	2
E0DE	Monster	FULL_SPAWN	492.14630126953125	159.90931701660156	-1391.1295166015625	234	131	131	1060	2
E187	Monster	FULL_SPAWN	397.5315246582031	159.8993682861328	-1443.6041259765625	4	80	80	1010	1
E188	Monster	FULL_SPAWN	401.60174560546875	159.9121856689453	-1444.559326171875	0	224	224	1010	4
E270	Monster	FULL_SPAWN	448.90753173828125	159.9317169189453	-1414.1998291015625	85	80	80	1010	1
E66D	Monster	FULL_SPAWN	495.2185974121094	159.90931701660156	-1397.49951171875	140	128	128	1000	2
E68A	Monster	FULL_SPAWN	311.7943420410156	159.90135192871094	-1407.1776123046875	143	243	243	1021	4
E6F4	Monster	FULL_SPAWN	510.0572814941406	159.6702880859375	-1367.053466796875	35	176	176	1010	3
E909	Monster	FULL_SPAWN	537.7821044921875	159.00079345703125	-1336.082275390625	194	85	85	1020	1
E9A3	Monster	FULL_SPAWN	516.0077514648438	159.5327606201172	-1351.385009765625	89	187	187	1020	3
E9B1	Monster	FULL_SPAWN	509.0428771972656	159.65414428710938	-1353.190673828125	40	187	187	1020	3
EA8B	Monster	FULL_SPAWN	508.650390625	159.91500854492188	-1198.6109619140625	104	128	128	1000	2
EC4E	Monster	FULL_SPAWN	493.8194885253906	159.2253875732422	-1181.0201416015625	178	178	178	1001	3
F14B	Monster	FULL_SPAWN	252.58380126953125	158.7317352294922	-1336.244384765625	18	80	80	1010	1
F14F	Monster	FULL_SPAWN	255.93936157226562	159.0472412109375	-1334.9410400390625	231	85	85	1020	1
F159	Monster	FULL_SPAWN	255.27218627929688	159.44113159179688	-1339.832275390625	184	85	85	1020	1
FD22	Monster	FULL_SPAWN	452.6856994628906	156.59080505371094	-1141.26220703125	166	82	82	1060	1
FD46	Monster	FULL_SPAWN	351.9879150390625	159.39401245117188	-1383.9324951171875	96	32	32	1170	1
